Country,Year,Monthly Exports
Italy,"Wednesday, January 1, 2020",609610
Italy,"Saturday, February 1, 2020",234072
Italy,"Sunday, March 1, 2020",503734
Italy,"Wednesday, April 1, 2020",68956
Italy,"Friday, May 1, 2020",116375
Italy,"Monday, June 1, 2020",502118
Italy,"Wednesday, July 1, 2020",302220
Italy,"Saturday, August 1, 2020",617722
Italy,"Tuesday, September 1, 2020",1360013
Italy,"Thursday, October 1, 2020",1314992
Italy,"Sunday, November 1, 2020",720093
Italy,"Tuesday, December 1, 2020",3541968
Italy,"Friday, January 1, 2021",1148696
Italy,"Monday, February 1, 2021",1304404
Italy,"Monday, March 1, 2021",1313279
United Kingdom,"Wednesday, January 1, 2020",536551
United Kingdom,"Saturday, February 1, 2020",112176
United Kingdom,"Sunday, March 1, 2020",76707
United Kingdom,"Wednesday, April 1, 2020",0
United Kingdom,"Friday, May 1, 2020",0
United Kingdom,"Monday, June 1, 2020",16934
United Kingdom,"Wednesday, July 1, 2020",879767
United Kingdom,"Saturday, August 1, 2020",116273
United Kingdom,"Tuesday, September 1, 2020",988027
United Kingdom,"Thursday, October 1, 2020",603250
United Kingdom,"Sunday, November 1, 2020",347845
United Kingdom,"Tuesday, December 1, 2020",342086
United Kingdom,"Friday, January 1, 2021",215242
United Kingdom,"Monday, February 1, 2021",187131
United Kingdom,"Monday, March 1, 2021",375802
Canada,"Wednesday, January 1, 2020",4402767
Canada,"Saturday, February 1, 2020",1250851
Canada,"Sunday, March 1, 2020",469232
Canada,"Wednesday, April 1, 2020",174797
Canada,"Friday, May 1, 2020",908170
Canada,"Monday, June 1, 2020",940041
Canada,"Wednesday, July 1, 2020",35648080
Canada,"Saturday, August 1, 2020",32170822
Canada,"Tuesday, September 1, 2020",30327890
Canada,"Thursday, October 1, 2020",63846598
Canada,"Sunday, November 1, 2020",40103170
Canada,"Tuesday, December 1, 2020",8717956
Canada,"Friday, January 1, 2021",4451222
Canada,"Monday, February 1, 2021",406956
Canada,"Monday, March 1, 2021",372936
France,"Wednesday, January 1, 2020",389622
France,"Saturday, February 1, 2020",226377
France,"Sunday, March 1, 2020",70113
France,"Wednesday, April 1, 2020",0
France,"Friday, May 1, 2020",94935
France,"Monday, June 1, 2020",212941
France,"Wednesday, July 1, 2020",139642
France,"Saturday, August 1, 2020",415404
France,"Tuesday, September 1, 2020",1488447
France,"Thursday, October 1, 2020",1165061
France,"Sunday, November 1, 2020",522846
France,"Tuesday, December 1, 2020",2009388
France,"Friday, January 1, 2021",274519
France,"Monday, February 1, 2021",179392
France,"Monday, March 1, 2021",139258
Japan,"Wednesday, January 1, 2020",155547
Japan,"Saturday, February 1, 2020",244537
Japan,"Sunday, March 1, 2020",99400
Japan,"Wednesday, April 1, 2020",96029
Japan,"Friday, May 1, 2020",155372
Japan,"Monday, June 1, 2020",153432
Japan,"Wednesday, July 1, 2020",107391
Japan,"Saturday, August 1, 2020",224827
Japan,"Tuesday, September 1, 2020",1028607
Japan,"Thursday, October 1, 2020",234671
Japan,"Sunday, November 1, 2020",110130
Japan,"Tuesday, December 1, 2020",410700
Japan,"Friday, January 1, 2021",118541
Japan,"Monday, February 1, 2021",59608
Japan,"Monday, March 1, 2021",129868